,model,config,predict score,Accuracy,Precesion,Recall,Specificity,F1 score,Negative predictive value,False positive rate,False negative rate,mean abolute error,Log loss
0,DTModel,FOUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
1,DTModel,ONE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
2,DTModel,THREE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
3,DTModel,TWO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
4,KNNModle,FIVE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
5,KNNModle,FOUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
6,KNNModle,ONE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
7,KNNModle,SIX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
8,KNNModle,THREE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
9,KNNModle,TWO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.992007221626415e-16
10,LogRegression,EIGHT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.014955269203307673
11,LogRegression,FIVE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.009521143442429308
12,LogRegression,ONE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01641245588140919
13,LogRegression,SEVEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01495506441504693
14,LogRegression,SIX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.016764030783859154
15,LogRegression,THREE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.016567475551895684
16,LogRegression,TWO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.010808711489880553
17,MLPClassifierModel,EGHIT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.6082235478606466e-05
18,MLPClassifierModel,EGHITEEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.008808128501557684
19,MLPClassifierModel,ELEVEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0022507892833686536
